"","avg_word","sd_word","avg_vocab","sd_vocab","avg_phrase","sd_phrase","avg_keyword","sd_keyword"
"FirstN",-0.279335396294011,-0.218057312134265,-0.495092868851045,-0.424399612273538,-0.469922949447271,-0.384544701857445,0.179113504036787,0.424806006968935
"LexRank",-0.239666771765347,-0.0581823814416832,0.0225391104832537,0.201100697505653,-0.0763974379089961,0.00937952329175772,0.779488700615139,0.758495063852522
"LexSpec",-0.28562870708081,-0.0689820822723423,-0.04625880656398,0.18290025883452,-0.150268568459131,-0.0213624285911006,0.79717434707355,0.827205975591512
"PositionRank",-0.306451272430765,-0.349684246865818,-0.298168114143092,-0.31419945105665,-0.310629727848381,-0.378343662564734,0.379270061704627,0.596039962838653
"SingleRank",-0.223022897728573,-0.0891721563384709,0.0375692676674087,0.172917438398155,-0.0537466666127022,-0.0183626904919407,0.766125474194803,0.73679300026835
"SingleTPR",-0.136849713024475,-0.21749280758402,0.0443013088124107,-0.121734287734066,0.0316545336456193,-0.18665383156914,0.403735944998669,0.42109649686895
"TextRank",-0.303917368376852,-0.13587811861336,-0.0431766338824975,0.152650960796784,-0.141352647150423,-0.055167362349259,0.761611463191756,0.776164288348226
"TF",-0.532204804941776,-0.334244975866788,-0.456485527953998,-0.360431097576278,-0.450835368762342,-0.395954604770483,0.296466556216579,0.473243536730854
"TFIDF",-0.364018787022312,-0.114643802299216,-0.145855301596185,0.14786193343483,-0.260733780961441,-0.0709854865430597,0.772374812424534,0.843984608101524
"TFIDFRank",-0.250460767517751,-0.110011362015005,0.0162430962631998,0.176750262577494,-0.0868065373792073,-0.0312113639107996,0.767171443289073,0.756377811845245
"TopicRank",-0.397033534987444,-0.205790027671652,-0.208585494324161,0.0357812109404744,-0.316027223970433,-0.183732401353372,0.727790464985472,0.786003026501841
