"","avg_word","sd_word","avg_vocab","sd_vocab","avg_phrase","sd_phrase","avg_keyword","sd_keyword"
"FirstN",-0.477441000844259,-0.304872036306314,-0.560483445985378,-0.339324518077519,-0.580850101293773,-0.410232919276269,0.336038279331128,0.619804048903987
"LexRank",-0.379983160700923,-0.174657936283419,-0.218528435914695,-0.00642109977778142,-0.308488426383565,-0.168583980834453,0.674055920308072,0.696912545476112
"LexSpec",-0.472735917050978,-0.247703011443073,-0.323416141008491,-0.0404335487188939,-0.423200065722505,-0.238810219704103,0.656110571910497,0.775666766492134
"PositionRank",-0.374014059352352,-0.356403337436411,-0.403030529727099,-0.382978213643155,-0.417210070511687,-0.429073095507512,0.341716332182452,0.521473757797877
"SingleRank",-0.384467779139234,-0.209817532544735,-0.224236134290622,-0.0344818313108582,-0.30788193158086,-0.197408838086171,0.660544821467163,0.685057976045606
"SingleTPR",-0.366006290852071,-0.334763471390915,-0.270725892002672,-0.32463083869272,-0.279544007266089,-0.371958799941226,0.36795789691052,0.458395476169181
"TextRank",-0.483602530771046,-0.316537917084669,-0.31306599271964,-0.0991428487317529,-0.400709742291167,-0.28459048637233,0.600450675024417,0.680668195257857
"TF",-0.595235461854342,-0.392693485103847,-0.567065496733323,-0.451079343969389,-0.554578942974427,-0.475116123240171,0.214692127710732,0.4502054869953
"TFIDF",-0.498846080461369,-0.212129824445953,-0.368725705012021,-0.0469799962202678,-0.462279767893273,-0.220699173784749,0.631929734451703,0.743356710088731
"TFIDFRank",-0.377974404252324,-0.162815303874834,-0.218883930158315,-0.00112417280560143,-0.306133423691966,-0.156103857250349,0.674953844114979,0.691537309890942
"TopicRank",-0.395463980858179,-0.129924132481471,-0.208407913162799,0.143801459368653,-0.330486761181868,-0.0985821058438803,0.786734826814556,0.836991658429698
