,dataset_id,Related RICs,Language,Topics,Products,Attribution,Story Date Time,Take Date Time,Headline,Story Body,Unique Story Index,PNAC
0,63567,,en,BISV BNK BSVC FIN FINS US CORPD CDM DBT MMT USC CEN CMPNY MCE ECI FED AGA LEN RTRS,E D NAT M NAW MNI U T,RTRS,01/02/2014 14:45:29,01/02/2014 14:45:29,U.S. commercial paper market shrinks in week-Fed,The amount of U.S. commercial paper contracted in the week ended Jan 1 Federal Reserve data showed on Thursday.     U.S. seasonally adjusted commercial paper outstanding fell $55.1 billion to $1.046 trillion in the latest week.     Non-seasonally adjusted commercial paper outstanding - which some analysts consider a more reliable reading than the seasonally adjusted one since it has been distorted by the financial crisis - fell $53.3 billion to $951.6 billion.     U.S. non-seasonally adjusted foreign financial commercial paper outstanding fell $25.9 billion to $231.4 billion.      ((New York Treasury Desk +1-646-223-6300)),20140102144529nEMS0CRI4H,nEMS0CRI4H
1,63576,,en,ECB WEU EUROP DE CEN MMT PLCY INT MCE BANK BNK LEN RTRS DBT GVD EZC CEEU MKTREP MTGFX FINS BISV BSVC EU,M T E D EMK PSC RNP,RTRS,01/02/2014 10:06:48,01/02/2014 10:46:14,Key Euribor rate dips after banks stock up on liquidity at year-end,"The key euro-priced bank-to-bank lending rate fell on Thursday as banks started the new year with solid liquidity buffers, which they had accumulated to ward off year-end market tension.     Banks took 168.662 billion euros from the European Central Bank at its extended weekly refinancing operation on Monday, more than the 140 billion euros money market traders had forecast in a Reuters poll. [ID:nL3N0K61QP]     They also returned less than the full value of the ECB's former government bond purchase programme in the weekly sterilisation round on Monday. [ID:nL6N0K91VX]     The ECB made efforts to avoid any liquidity squeeze towards the end of the year and suspended repayments of its ultra-cheap loan until Jan. 15.     Excess liquidity - the amount of money in the market beyond which banks need for their day-to-day operations - fell to 269 billion euros on Thursday from around 275 billion euros on Tuesday. <ECBNOMLIQ=>     That was down from over 600 billion euros at the start of last year.      Concerns about the drop have supported Euribor rates since mid-November, though a spike in excess liquidity to just above 200 billion euros immediately prior to Christmas and towards the end of the year eased the upward pressure.     On Thursday, the three-month Euribor rate <EURIBOR3MD=>, traditionally the main gauge of unsecured bank-to-bank lending, fell to 0.284 percent from 0.287 percent.     The six-month Euribor rate <EURIBOR6MD=> eased to 0.387 percent from 0.389 percent, and the shorter-term one-week rate <EURIBORSWD=> dropped to 0.183 percent from 0.188 percent. Overnight Eonia <EONIA=> jumped to 0.446 percent on Tuesday, the last day of the year, from 0.223 percent previously.     <^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^     For a package of graphics on the ECB, click on:          http://link.reuters.com/neg32s        For graphic of euro zone liquidity levels click:            http://link.reuters.com/qeq25s      ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^>     Euribor rates are fixed daily by the Banking Federation of  the European Union (FBE) shortly after 1000 GMT.     * For a table of the latest Euribor fixings for terms of one week to one year, double click on <EURIBOR=>     * For a table of the previous day's fixings of EONIA swap  rates, which show market expectations for future overnight  lending rates, double click on <EONIAINDEX>     * For graphs of historic Euribor and EONIA swap rates, right click on the links in angle brackets below, and select 'Related Graph'       1 week    <EURIBORSWD=>    <EONIAINDEXSW=>     2 week    <EURIBOR2WD=>    <EONIAINDEX2W=>     1 month   <EURIBOR1MD=>    <EONIAINDEX1M=>     2 month   <EURIBOR2MD=>    <EONIAINDEX2M=>     3 month   <EURIBOR3MD=>    <EONIAINDEX3M=>     6 month   <EURIBOR6MD=>    <EONIAINDEX6M=>     9 month   <EURIBOR9MD=>    <EONIAINDEX9M=>     1 year    <EURIBOR1YD=>    <EONIAINDEX1Y=>  ($1 = 0.7296 euros)   (Reporting by Frankfurt newsroom; Editing by Susan Fenton)  ((frankfurt.newsroom@reuters.com)(+49 69 7565 1209))  Keywords: MARKETS/EURIBOR",20140102100648nZYN0P2I00,nZYN0P2I00
2,63595,,en,MCE FED MMT PLCY CEN GVD DBT US WASH INT LEN RTRS NEWS1 POL AMERS PIA GEN,C D E M O T U MTL GRO SOF OIL MNI NAT ELN NAW G J Z RINVM PSC RNP DNP PTD PGE,RTRS,01/02/2014 21:03:57,01/02/2014 21:10:33,U.S. Senate sets Monday vote on Janet Yellen to head Fed,"The U.S. Senate has set a Monday vote on President Barack Obama's choice of Janet Yellen to chair the Federal Reserve and replace Ben Bernanke, according to a Senate Democratic leadership aide.      The Senate is expected to vote at around 5:30 p.m. EST (2230 GMT) Monday on Yellen, who would become the first woman to chair the U.S. central bank.     On Dec. 20, the Senate voted 59-34 to move forward with the nomination, indicating she had enough support to win confirmation. Bernanke's second four-year term expires on Jan. 31.   (Reporting by Richard Cowan; Editing by James Dalgleish)  ((Richard.Cowan@thomsonreuters.com)(Reuters Messaging: richard.cowan@thomsonreuters.com)(202-898-8391)(Reuters Messaging)(richard.cowan.reuters.com@reuters.net))  Keywords: USA FED/YELLEN",20140102210357nW1N0IP01D,nW1N0IP01D
3,63578,,en,STX REAM FRX GVD FINS BANK REGS ISU RU DE GR PMI NEWS1 EZ EUR GB TR EZC IE UA TRD SQ CLM GFIN DIP G8 ECB BOE FED DBT BISV MCE ECI INT PLCY JOB WEU ES IT FR CEN SEEU US IMF POL EU BSVC BACT MEVN EUROP EMRG CISC CEEU ASIA AMERS EEU MEAST PIA GEN LEN RTRS,C D E M O T U OIL NAT UKI GRO MTL SOF G EMK PSC,RTRS,01/02/2014 08:11:49,01/02/2014 08:11:49,MORNING BID: EUROPE-A daily note from our Economics/Politics Editor,"Manufacturing PMI surveys for euro zone countries and Britain kick off the new year in Europe after China's equivalent showed factory activity slowed in December, indicating growth in the world's second-largest economy moderated at the end of 2013.     We know from flash readings two weeks ago that the euro zone's manufacturing and service sectors did well in December with new orders flooding in. But that masked a growing divergence between the bloc's top two economies with German factories enjoying their best month since June 2011 while activity among French firms sunk to a seven-month low.     Those readings are unlikely to change much, putting the focus on the surveys for Italy, Spain and Greece all of which have shown signs of life in recent months and for which we've had no prior release. All three are forecast to have shown further improvement last month.     Concern about the durability of the euro zone's recovery is increasingly centred on France, whose economy slipped back into contraction in the third quarter. The government has pushed through labour and pensions reforms despite domestic resistance but the changes have been dismissed as too timid by many abroad.     In his New Year address, President Francois Hollande offered French companies a responsibility pact to tackle unemployment, whereby they could benefit from lower labour taxes and  fewer restrictions on their activity in return for hiring more workers. With his poll ratings at all-time lows for a president, a great leap in policy is unlikely.     For her New Year message, Angela Merkel vowed to permanently resolve the bloc's debt crisis, not least because it is vital for Germany's interests. What flows from that remains to be seen. She then went on to focus on the need to put public finances in order. Hollande said he and Merkel would come up with new proposals on Europe early in the year.     Britain's PMI is unlikely to challenge a now well-established theme of rapid economic recovery after years spent in the doldrums, although a slight fall in the pace of expansion is predicted after November's survey hit a three-year high.     The short-term economic focus in Britain will be on the strength of consumer spending over Christmas. Department stores group John Lewis, which often outperforms the sector, has reported a 7.2 percent rise in Christmas sales. Rival Debenhams issued a profit warning on Tuesday after a hoped-for surge in last-minute shopping failed to materialise despite heavy discounting.     Turkey's new interior minister will be sworn in in parliament, replacing one of the three ministers who resigned after their sons were caught up in a corruption scandal which is rocking the country.     Efkan Ala will be the minister responsible for the judiciary and police force so we'll be looking for any statements about their independence and how they have been operating.     Prime Minister Tayyip Erdogan has responded to the corruption investigation by dismissing about 70 police officers involved in the probe and implicitly pointed the finger at Fethullah Gulen, a U.S.-based Turkish cleric whose Hizmet movement claims at least a million followers, including senior police and judges.     After some dramatic losses last week, Turkish stocks and the lira rallied on Tuesday. The currency is steady early on today.   (Editing by Patrick Graham)  ((email: mike.peacock@thomsonreuters.com)(Reuters Messaging:)(mike.peacock.thomsonreuters.com@reuters.net: +44 207 542 3784))  Keywords: EUROPE/VIEW",20140102081149nL6N0KC0EZ,nL6N0KC0EZ
4,63586,,en,FED TAL CTXT AGN REA MCE DBT MMT GVD US CEN WASH INT PLCY FINS REAL AMERS PIA GEN POL LEN RTRS,C D E M O T U MTL GRO SOF OIL MNI NAT ELN NAW,RTRS,01/01/2014 20:48:13,01/01/2014 20:48:13,TAKE A LOOK-Outlook for Federal Reserve policy,"    The Federal Reserve plans to purchase about $40 billion in longer-dated federal government debt in 18 operations this month, the New York Fed said earlier this week, reflecting the U.S. central bank's decision to trim its support for the economy.     In what came as a surprise to some investors, the Fed last month decided to cut its bond-buying program, known as quantitative easing, by $10 billion to $75 billion per month. It reduced purchases of both Treasuries and mortgage bonds by $5 billion each.     It had been purchasing $45 billion in Treasuries each month.     The New York Fed, which carries out monetary policy in financial markets, will pare purchases broadly across a spectrum of securities maturing between 2018 and 2043, according to the plan.     For more on the Fed's leadership and the outlook for Fed policy, see below (to retrieve a story, double-click on the number in square brackets or the URL):    -------------------------------------------------------------------------------    LATEST STORIES ON MONETARY POLICY:    12/30 Fisher says his FOMC vote will reflect QE concern         [ID:nL2N0KA00D] 12/30 Reduced Fed support reflected in Jan bond-buying plan     [ID:nL2N0K9139] 12/23 Fed hawks back taper decision, one urges bolder action    [ID:nL2N0K21E1] 12/20 INTERVIEW-Rosengren would have waited until March to taper[ID:nL2N0JZ1VW]  12/20 Fed's taper puts policy on a clear course -economists     [ID:nL3N0JZ2N6] 12/20 Fed's Rosengren urges patience on reducing stimulus       [ID:nL2N0JZ1CB] 12/19 U.S. primary dealers expect Fed's bond buying over by 2014[ID:nL2N0JY1GC]    DEC 17-18 POLICY MEETING: 12/18 Fed will not hike rates until Sept. 2015, traders bet     [ID:nL2N0JX287] 12/18 HIGHLIGHTS-Bernanke's news conference on Fed policy       [ID:nL2N0JW0Z8] 12/18 Fed cuts bond-buying but stresses easy policy             [ID:nW1N0IY00G] 12/18 TEXT-FOMC statement from Dec 17-18 meeting                     [FED/FOMC] 12/18 TABLE-Federal Reserve economic forecasts                     [FED/FCASTS] 12/18 INSTANT VIEW - Fed tapers by $10 bln                      [ID:nL2N0JX1RJ] 12/18 Wall St turns positive after Fed announces tapering       [ID:nL2N0JX1UF]        FED LEADERSHIP: 12/20 Yellen takes big step toward taking reins at Fed          [ID:nL2N0JZ0S3] 12/17 US Senate Republican leader McConnell to oppose Yellen    [ID:nL2N0JW1GN] 12/17 Fischer, eyed for No. 2 spot, sees QE as ugly but needed  [ID:nL2N0JS0XP] 12/16 U.S. Senate vote on Yellen expected on Thursday -aide     [ID:nL2N0JV1K0] 12/11 Israel's Fischer picked to be next Fed vice chair -source [ID:nL1N0JQ1HQ] 11/21 Yellen takes big step toward becoming next Fed chair      [ID:nL2N0J610Z]  11/20 Republican Senator Corker to support Yellen as Fed chief  [ID:nL2N0J517X] 11/19 Yellen maintains dovish message in lawmaker letters       [ID:nL2N0J41DN] 11/17 What Yellen didn't tell Congress and why it matters       [ID:nL2N0J01UK] 11/15 Yellen signals new emphasis on Fed policing role          [ID:nL2N0J01RR] 11/15 White House expresses confidence in Yellen Fed nomination [ID:nL2N0J01AF] 11/14 Yellen says imperative to promote very strong recovery    [ID:nL2N0IY2GN] 11/14 Yellen says Fed should be tougher on large banks          [ID:nL2N0IZ1UE] 11/14 Questioning is gentle, even from Fed's Republican critics [ID:nL2N0IZ273] 11/14 Yellen: Fed could mull cutting interest on bank reserves  [ID:nL2N0IZ231] 11/14 FACTBOX-Five imperative for a Yellen Fed                  [ID:nL2N0IZ1PF] 11/14 ANALYSTS' VIEW-Yellen supports current Fed policies       [ID:nL2N0IZ17G] 11/14 Highlights of Senate panel hearing with Janet Yellen      [ID:nL2N0IY1IC] 11/13 Yellen says Fed has 'more work to do' to aid recovery     [ID:nL2N0IY24Q] 11/13 TEXT-Fed's Yellen opening remarks to Senate committee     [ID:nW1N0HG02R]              A LOOK BACK AT THE OCT 29-30 POLICY MEETING: 10/30 Fed maintains strong stimulus as U.S. growth stumbles     [ID:nL1N0IK23W] 10/30 TEXT-FOMC statement from Oct 29-30 meeting                [ID:nW1N0ID021]   INSIDER TELEVISION:  Bernanke's last scheduled news conference as Fed chair  http://reut.rs/19xvy6v      ANALYSIS: 12/20 FED FOCUS-Bernanke's 11th hour pivot smooths Yellen's path[ID:nL2N0JX2LX] 11/21 Markets finally absorb Fed's two-track message            [ID:nL2N0J6006] 11/12 Time for Fed to accept growth not what it used to be?     [ID:nL2N0IT28U]   COMMENTARY: 12/18 BREAKINGVIEWS-Fed finally lets data guide policy          [ID:nL2N0JX1RB] 12/17 100 years of Fed competence led to cursed workload        [ID:nL2N0JW18C] 12/11 Stan Fischer at Fed a fine complement to Yellen           [ID:nL1N0JQ1TL] 12/11 SAFT ON WEALTH-A taper won't come cheaply                 [ID:nL2N0JI1MS] 11/14 COLUMN-Yellen delivers; tougher times ahead               [ID:nL2N0IY28H] 11/7  BREAKINGVIEWS-US economy looks vigorous enough for detox  [ID:nL2N0IS11T] 11/6  BREAKINGVIEWS-Lael Brainard isn't the only Fed no-brainer [ID:nL2N0IR1OU] 11/5  The QE deflation puzzle: James Saft                       [ID:nL2N0IP1QW]            GRAPHICS: The Fed trims its bond buying                  http://link.reuters.com/myp55v Charting the QE era                            http://link.reuters.com/tan23v When will the Fed tighten policy?              http://link.reuters.com/zat76t Federal Reserve balance sheet                  http://link.reuters.com/van33v Fed dove-hawk scale                            http://link.reuters.com/bah73v         -------------------------------------------------------------------------------   FED-WATCHING TOOLS:   > POLL-Latest Reuters poll of primary dealers                          [FED/R] > For tables from latest poll, see pages starting at:               <FEDPOLL1> > FACTBOX: Fed officials' comments on the economy, policy         [FED/QUOTES] > FACTBOX: Fed policymakers' economic, rate projections           [FED/FCASTS] > FACTBOX-Fed staff forecasts from FOMC minutes                   [FED/FCAST1] > Analysis of Fed policy                                           [FED/FOCUS]  > Federal Open Market Committee policy statements                   [FED/FOMC]  > Federal funds futures contracts                                      <0#FF:>  > DIARY-Federal Reserve events                                     [FED/DIARY]  > Fed funds rate changes since 1994                               [FED/CHRONO]  > Fed open market operations                                            [FED/]  > Fed's weekly money supply report                                     [FED/S]  > TOP NEWS: Central banks around the globe                           [TOP/CEN]  -------------------------------------------------------------------------------   ((Washington Newsroom, +1-202-898-8310))   ((For a Thomson Reuters Knowledge Network training video showing how to measure and track the impact of Fed actions in Reuters 3000 Xtra, double-click on: http://trainingportal.us/video/v.php?v=234&SOU=News For details on other economic issues, read the MacroScope blog by Reuters correspondents at: http://blogs.reuters.com/macroscope/))  Keywords: USA FED/",20140101204813nL2N0J51S0,nL2N0J51S0
5,63588,,en,ECB EU FED EUR ASIA CEN CMPNY FIN WEU DBT FRX GVD CH CA EUROP CEEU JP US GB AGA LEN RTRS,E D M J T U Z MNI NAT NAW,RTRS,01/02/2014 21:00:16,01/02/2014 21:00:16,No swaps with foreign central banks in latest week - NY Fed,"The Federal Reserve provided no liquidity to foreign central banks in the latest week, the New York Fed said on Thursday.      The Federal Reserve has established swap arrangements with the Bank of Canada, the Bank of England, the European Central Bank, the Swiss National Bank, and the Bank of Japan.   (The full Fed report can be found at: http://www.newyorkfed.org/markets/fxswap/fxswap.cfm )   Keywords: FED FOREX/SWAPS CENBANKS",20140102210016nEMS0D4P1I,nEMS0D4P1I
6,63555,ECB40 ECB39,en,CEN ECB DE WEU EUROP INT DBT MMT MCE BANK BNK LOA EU BSVC FINS AGA LEN RTRS,E M D T,RTRS,01/02/2014 08:13:07,01/02/2014 08:13:07,"Overnight borrowing from ECB 301 mln euros, deposits 85.658 bln","The European Central Bank reported the following daily data on liquidity provision, in millions of euros.                                               TODAY       PREV DAY Use of overnight loan facility                 301                Use of overnight deposit facility           85,658                Current account holdings                   286,592                Outstanding open market operations         704,273                First covered bond purchase programme       41,680                Second covered bond purchase programme      15,448                 The ECB completed its first, year-long 60 billion euros covered bond buying programme in June 2010 and its second one in November 2012, after spending less than half of the 40 billion euros it originally earmarked. The total value of the programmes occasionally fluctuates due to valuation issues or if bonds purchased mature. For data double click on <ECBCBP=ECBF> and <ECBCBP2=ECBF>. For additional details click http://www.ecb.int/press/pr/date/2011/html/pr111103_1.en.html  For details of previous ECB overnight lending operations, see:  http://www.ecb.int/stats/monetary/res/html/index.en.html  For data on ECB market operations please click <EUROREF00>  For Reuters calculation of money market liquidity level please click <ECBNOMLIQ=>. To graph right click and select 'graph' option.  (Reporting by Frankfurt newsroom) ((frankfurt.newsroom@thomsonreuters.com; +49 (0) 69 7565 1209))",20140102081307nZYN0Q2I40,nZYN0Q2I40
7,63610,,en,DBT MMT GVD MCE INT PLCY US NEWS1 CEN WASH POL FED AMERS PIA GEN LEN RTRS,C MTL GRO SOF D T E ELN G J M MNI NAT NAW O OIL RINVM U Z PSC RNP DNP PTD PGE,RTRS,01/02/2014 21:34:55,01/02/2014 21:34:55,UPDATE 1-U.S. Senate sets Monday vote on Janet Yellen to head Fed,"Janet Yellen came a step closer to final approval as the Federal Reserve's next chair after the U.S. Senate set a Monday vote on President Barack Obama's choice to succeed Ben Bernanke.      The Senate is expected to vote at around 5:30 p.m. EST (2230 GMT) Monday on Yellen, according to a Senate Democratic leadership aide.      Yellen, who would become the first woman to chair the U.S. central bank, would take the reins on Feb. 1, one day after Bernanke ends a two-term stint during which he reached deep into the Fed's monetary toolbox to try to revive an economy hit by a massive financial crisis that sent it into the worst downturn in decades.      Yellen has been deeply involved in the decisions to press the Fed into uncharted monetary policy waters, as the Fed's vice chair since 2010 and before that as chief of the San Francisco Fed.     As she steps into her new role, her biggest challenge will likely be to begin to pare back the Fed's crisis-era stimulus. The bank took a first step in that direction last month when policymakers voted to pare its massive bond-buying stimulus program to $75 billion a month from $85 billion.      The Senate on Dec. 20 voted 59-34 to move forward with Yellen's nomination, indicating she had enough support to win confirmation.      Bernanke's second four-year term expires on Jan. 31.   (Reporting by Richard Cowan; Additional reporting by Ann Saphir in San Francisco; Editing by James Dalgleish)  ((Richard.Cowan@thomsonreuters.com)(Reuters Messaging: richard.cowan@thomsonreuters.com)(202-898-8391)(Reuters Messaging)(richard.cowan.reuters.com@reuters.net))  Keywords: USA FED/YELLEN",20140102213455nL2N0KC16R,nL2N0KC16R
8,63593,USM2=ECI,en,FED REP BNK FIN MUNI DBT MMT CEN US ECI FINS BISV BSVC MCE AMERS LEN RTRS,C MTL GRO SOF D T NAT E U NAW MNI M PSC RNP DNP PTD,RTRS,01/02/2014 21:30:00,01/02/2014 21:30:00,U.S. M-2 money supply data for latest week ,"For details of the Federal Reserve's money supply report, see:     http://www.federalreserve.gov/releases/h41/current/h41.pdf     http://www.federalreserve.gov/releases/h6/current/h6.pdf       http://www.federalreserve.gov/releases/h3/current/h3.pdf         (Americas Economics and Markets Desk)  ((1 646 223 6300))  Keywords: USA ECONOMY/MONEYSUPPLY",20140102213000nL2N0KC151,nL2N0KC151
9,63601,FMCC.OB FNMA.OB,en,US BNK FIN CEN FED MUNI DBT ECI JP BOJ AGN LEN RTRS MTG LOA GVD CDM FINS BISV BSVC COFS MTGFX CMPNY AMERS,U NAW D E NAT M T GRO SOF MTL C MNI J Z PSC RNP DNP PTD,RTRS,01/02/2014 21:30:00,01/02/2014 21:30:00,Foreign central banks' US debt holdings - Fed,"     For details of foreign central banks' holdings of U.S. marketable securities held at the Federal Reserve, see:           http://www.federalreserve.gov/releases/h41/Current/h41.pdf                   <^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^   Graphic on Federal Reserve balance sheet:   http://link.reuters.com/cub62s     ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^>            (Reporting By Meredith Mazzilli)  ((meredith.mazzilli@thomsonreuters.com)(+1 646 223 6219))  Keywords: USA FED/FOREIGNERS",20140102213000nN9N0H001P,nN9N0H001P
